slate,competition,season,engine,cutoff,n,n_labelled,unknown_selected,xv,captain_extra,super_sub,total,mae,bias,rmse,captain,sub
six_nations_2025_r1,six_nations,2025,empirical_baseline,2025-01-31T20:15:00+00:00,138,132,0,450.0,37.0,15.0,502.0,6.782401487047886,-2.0020656336835185,9.94318072933638,Thomas Ramos,Tom Willis
six_nations_2025_r1,six_nations,2025,p3_rolling_native,2025-01-31T20:15:00+00:00,138,132,0,483.0,31.0,15.0,529.0,6.829945597463422,-2.977167249645502,10.171906313170235,Antoine Dupont,Tom Willis
six_nations_2025_r1,six_nations,2025,p3_weighted_native,2025-01-31T20:15:00+00:00,138,132,0,416.0,31.0,15.0,462.0,6.875909114585709,-2.821692391228936,10.07169327615413,Antoine Dupont,Tom Willis
six_nations_2025_r1,six_nations,2025,p3_robust_native,2025-01-31T20:15:00+00:00,138,132,0,440.0,31.0,75.0,546.0,6.890568617739768,-3.1655670853199647,10.19683394556003,Antoine Dupont,Dan Sheehan
six_nations_2025_r1,six_nations,2025,empirical_archived,2025-01-31T20:15:00+00:00,138,132,0,450.0,37.0,15.0,502.0,6.782401487047886,-2.0020656336835185,9.94318072933638,Thomas Ramos,Tom Willis
six_nations_2025_r1,six_nations,2025,incumbent,2025-01-31T20:15:00+00:00,138,132,0,443.0,37.0,18.0,498.0,7.7979513024601985,-5.817690832244576,11.757829657363663,Thomas Ramos,Jack Crowley
six_nations_2025_r1,six_nations,2025,role_calibration,2025-01-31T20:15:00+00:00,138,132,0,440.0,31.0,75.0,546.0,6.890568617739768,-3.1655670853199647,10.19683394556003,Antoine Dupont,Dan Sheehan
six_nations_2025_r1,six_nations,2025,kicking_role_gate,2025-01-31T20:15:00+00:00,138,132,0,440.0,31.0,75.0,546.0,6.891063629715652,-3.1725027047832297,10.199285172912699,Antoine Dupont,Dan Sheehan
six_nations_2025_r1,six_nations,2025,equal_empirical_baseline,2025-01-31T20:15:00+00:00,138,132,0,453.0,37.0,75.0,565.0,6.787943841349939,-2.583816359501741,10.018281587622305,Thomas Ramos,Dan Sheehan
six_nations_2025_r1,six_nations,2025,regularised_empirical_baseline,2025-01-31T20:15:00+00:00,138,132,0,453.0,37.0,75.0,565.0,6.787943841349939,-2.583816359501741,10.018281587622305,Thomas Ramos,Dan Sheehan
six_nations_2025_r1,six_nations,2025,equal_incumbent,2025-01-31T20:15:00+00:00,138,132,0,431.0,37.0,51.0,519.0,7.066631112345546,-4.491628958782271,10.759533117368957,Thomas Ramos,Jack Dempsey
six_nations_2025_r1,six_nations,2025,regularised_incumbent,2025-01-31T20:15:00+00:00,138,132,0,431.0,37.0,51.0,519.0,7.066631112345546,-4.491628958782271,10.759533117368957,Thomas Ramos,Jack Dempsey
six_nations_2025_r2,six_nations,2025,empirical_baseline,2025-02-08T14:15:00+00:00,138,138,0,318.0,34.0,30.0,382.0,6.875875843761929,0.7618723380121392,9.79334517985244,Tom Willis,Dan Sheehan
six_nations_2025_r2,six_nations,2025,p3_rolling_native,2025-02-08T14:15:00+00:00,138,138,0,294.0,34.0,21.0,349.0,7.163804431915141,1.560982451427045,9.822969369636283,Thomas Ramos,Gianmarco Lucchesi
six_nations_2025_r2,six_nations,2025,p3_weighted_native,2025-02-08T14:15:00+00:00,138,138,0,296.0,34.0,21.0,351.0,7.167499508315274,1.7223353353337287,9.802463492324854,Thomas Ramos,Gianmarco Lucchesi
six_nations_2025_r2,six_nations,2025,p3_robust_native,2025-02-08T14:15:00+00:00,138,138,0,335.0,34.0,30.0,399.0,6.840640310869787,1.193174973911534,9.588095579279232,Thomas Ramos,Dan Sheehan
six_nations_2025_r2,six_nations,2025,empirical_archived,2025-02-08T14:15:00+00:00,138,138,0,318.0,34.0,30.0,382.0,6.87587584376193,0.7618723380121393,9.79334517985244,Tom Willis,Dan Sheehan
six_nations_2025_r2,six_nations,2025,incumbent,2025-02-08T14:15:00+00:00,138,138,0,354.0,34.0,0.0,388.0,6.87515140497859,0.9962059189943168,9.569536834978505,Thomas Ramos,Jack Crowley
six_nations_2025_r2,six_nations,2025,role_calibration,2025-02-08T14:15:00+00:00,138,138,0,335.0,23.0,30.0,388.0,7.2338842645632235,2.378694233404273,9.83187708449593,Jac Morgan,Dan Sheehan
six_nations_2025_r2,six_nations,2025,kicking_role_gate,2025-02-08T14:15:00+00:00,138,138,0,335.0,34.0,30.0,399.0,6.8377914405395925,1.186163621094237,9.585989849166909,Thomas Ramos,Dan Sheehan
six_nations_2025_r2,six_nations,2025,equal_empirical_baseline,2025-02-08T14:15:00+00:00,138,138,0,336.0,34.0,30.0,400.0,6.753657429204933,0.9775236559618369,9.63506640444258,Thomas Ramos,Dan Sheehan
six_nations_2025_r2,six_nations,2025,regularised_empirical_baseline,2025-02-08T14:15:00+00:00,138,138,0,318.0,34.0,30.0,382.0,6.840587848475055,0.7980734886619494,9.759184427697214,Thomas Ramos,Dan Sheehan
six_nations_2025_r2,six_nations,2025,equal_incumbent,2025-02-08T14:15:00+00:00,138,138,0,274.0,34.0,21.0,329.0,6.803988872090911,1.0946904464529255,9.473980718049594,Thomas Ramos,Gianmarco Lucchesi
